resource_id,role
86899,role_0
86900,role_0
86901,role_0
86902,role_0
86904,role_0
86905,role_0
86907,role_0
86908,role_0
86912,role_0
86914,role_0
86915,role_0
86916,role_0
86917,role_0
86918,role_0
86919,role_0
86921,role_0
86923,role_0
86924,role_0
86925,role_0
86926,role_0
86928,role_0
86930,role_0
86931,role_0
86932,role_0
86934,role_0
86936,role_0
86937,role_0
86938,role_0
86940,role_0
86941,role_0
86942,role_0
86943,role_0
86944,role_0
86945,role_0
86948,role_0
86949,role_0
86950,role_0
86951,role_0
86952,role_0
86953,role_0
86955,role_0
86956,role_0
86957,role_0
86960,role_0
86961,role_0
86963,role_0
86964,role_0
86966,role_0
86969,role_0
86970,role_0
86971,role_0
86972,role_0
86973,role_0
86975,role_0
86976,role_0
86977,role_0
86978,role_0
86979,role_0
86981,role_0
86982,role_0
86984,role_0
86985,role_0
86986,role_0
86987,role_0
86988,role_0
86989,role_0
86990,role_0
86991,role_0
86992,role_0
86994,role_0
86995,role_0
86997,role_0
86998,role_0
86999,role_0
87000,role_0
87001,role_0
87003,role_0
87004,role_0
87005,role_0
87006,role_0
87007,role_0
87008,role_0
87009,role_0
87010,role_1
87012,role_0
87015,role_3
87016,role_0
87017,role_0
87019,role_0
87020,role_0
87021,role_0
87022,role_0
87023,role_0
87024,role_0
87025,role_0
87026,role_0
87027,role_0
87029,role_0
87030,role_0
87032,role_0
87033,role_0
87035,role_0
87037,role_0
87038,role_0
87039,role_0
87040,role_0
87041,role_0
87042,role_0
87043,role_0
87044,role_0
87045,role_0
87046,role_0
87047,role_0
87048,role_0
87049,role_0
87050,role_0
87051,role_0
87052,role_0
87053,role_0
87054,role_0
87055,role_0
87056,role_0
87057,role_0
87059,role_3
87061,role_0
87065,role_0
87067,role_0
87069,role_0
87071,role_0
87072,role_0
87073,role_0
87075,role_0
87077,role_0
87078,role_0
87079,role_0
87080,role_0
87081,role_0
87082,role_0
87083,role_0
87084,role_0
87085,role_0
87087,role_0
87088,role_0
87089,role_0
87090,role_0
87092,role_0
87093,role_0
87094,role_0
87095,role_0
87096,role_0
87099,role_0
87101,role_0
87103,role_0
87107,role_0
87108,role_0
87111,role_0
87113,role_0
87114,role_0
87115,role_0
87116,role_3
87117,role_0
87118,role_0
87119,role_0
87120,role_0
87121,role_0
87123,role_0
87124,role_0
87127,role_0
87128,role_0
87129,role_0
87130,role_3
87131,role_0
87132,role_0
87135,role_0
87136,role_0
87137,role_0
87138,role_0
87139,role_0
87140,role_0
87141,role_0
87142,role_0
87143,role_0
87144,role_0
87146,role_0
87147,role_0
87148,role_0
87149,role_0
87150,role_0
87151,role_0
87152,role_0
87153,role_0
87154,role_0
87155,role_0
87156,role_0
87157,role_0
87158,role_0
87159,role_0
87160,role_0
87161,role_0
87162,role_0
87163,role_0
87165,role_0
87166,role_0
87167,role_0
87168,role_0
87169,role_0
87174,role_0
87175,role_0
87176,role_0
87177,role_3
87179,role_0
87180,role_0
87181,role_0
87183,role_0
87184,role_0
87185,role_0
87186,role_0
87188,role_0
87189,role_0
87190,role_0
87191,role_0
87192,role_0
87193,role_0
87194,role_0
87195,role_0
87196,role_0
87198,role_0
87199,role_0
87200,role_0
87202,role_0
87203,role_0
87204,role_0
87205,role_0
87206,role_0
87208,role_0
87209,role_0
87215,role_0
87216,role_0
87218,role_0
87219,role_0
87222,role_0
87223,role_0
87224,role_0
87225,role_0
87228,role_0
87230,role_0
87231,role_0
87232,role_0
87233,role_0
87234,role_0
87235,role_0
87236,role_0
87237,role_0
87241,role_0
87242,role_0
87243,role_0
87244,role_0
87245,role_0
87248,role_0
87250,role_0
87254,role_0
87255,role_0
87258,role_0
87260,role_0
87261,role_0
87262,role_0
87263,role_0
87265,role_0
87266,role_0
87267,role_0
87268,role_0
87269,role_0
87270,role_0
87273,role_0
87275,role_0
87276,role_0
87277,role_0
87278,role_0
87279,role_0
87280,role_0
87282,role_0
87283,role_0
87285,role_0
87289,role_0
87290,role_0
87291,role_0
87294,role_0
87295,role_0
87296,role_0
87297,role_0
87298,role_0
87299,role_0
87300,role_0
87301,role_0
87302,role_0
87304,role_0
87306,role_0
87307,role_0
87311,role_0
87312,role_0
87313,role_0
87314,role_0
87315,role_0
87316,role_0
87317,role_0
87318,role_0
87319,role_0
87320,role_0
87322,role_0
87323,role_0
87325,role_0
87326,role_0
87327,role_0
87328,role_0
87329,role_0
87331,role_0
87332,role_0
87333,role_0
87338,role_0
87339,role_0
87340,role_0
87341,role_0
87342,role_0
87344,role_0
87347,role_0
87348,role_0
87349,role_0
87351,role_0
87352,role_0
87354,role_0
87355,role_0
87356,role_0
87359,role_0
87360,role_0
87361,role_0
87362,role_0
87364,role_0
87365,role_0
87367,role_0
87368,role_0
87371,role_3
87379,role_0
87385,role_0
87393,role_0
87401,role_0
87407,role_0
87413,role_0
87416,role_0
87417,role_0
87419,role_0
87420,role_0
87425,role_0
87427,role_0
87431,role_0
87433,role_0
87434,role_0
87436,role_0
87437,role_0
87438,role_0
87443,role_0
87446,role_0
87447,role_0
87458,role_0
87461,role_0
87469,role_0
87472,role_0
87475,role_0
87476,role_0
87479,role_0
87480,role_0
87482,role_0
87484,role_0
87489,role_0
87496,role_0
87498,role_0
87500,role_0
87503,role_0
87505,role_0
87506,role_0
87514,role_0
87518,role_0
87520,role_0
87531,role_0
87533,role_0
87536,role_0
87540,role_0
87541,role_0
87543,role_0
87545,role_0
87547,role_0
87548,role_0
87549,role_0
87550,role_0
87551,role_0
87552,role_0
87554,role_0
87555,role_0
87557,role_0
87558,role_0
87559,role_0
87560,role_0
87561,role_0
87563,role_0
87564,role_0
87565,role_0
87566,role_0
87567,role_0
87568,role_0
87569,role_0
87570,role_0
87571,role_0
87572,role_0
87573,role_0
87575,role_0
87576,role_0
87577,role_0
87578,role_0
87579,role_0
87580,role_0
87582,role_0
87583,role_0
87584,role_0
87585,role_0
87587,role_0
87588,role_0
87589,role_0
87590,role_0
87591,role_0
87592,role_0
87593,role_0
87594,role_0
87595,role_0
87596,role_0
87597,role_0
87598,role_0
87599,role_0
87600,role_0
87601,role_0
87602,role_0
87605,role_0
87606,role_0
87607,role_0
87608,role_0
87609,role_0
87611,role_0
87615,role_0
87618,role_0
87619,role_0
87621,role_0
87622,role_0
87623,role_0
87624,role_0
87625,role_0
87626,role_0
87627,role_0
87628,role_0
87629,role_0
87630,role_0
87631,role_0
87632,role_0
87633,role_0
87634,role_0
87635,role_0
87636,role_0
87637,role_0
87638,role_0
87639,role_0
87641,role_0
87642,role_0
87643,role_0
87644,role_0
87645,role_0
87646,role_0
87647,role_0
87648,role_0
87649,role_0
87650,role_0
87651,role_0
87652,role_0
87653,role_0
87654,role_0
87658,role_0
87660,role_0
87661,role_0
87662,role_0
87665,role_0
87666,role_0
87667,role_0
87668,role_0
87669,role_0
87670,role_0
87671,role_0
87673,role_0
87674,role_0
87675,role_0
87676,role_0
87677,role_0
87678,role_0
87680,role_0
87681,role_0
87682,role_0
87683,role_0
87684,role_0
87685,role_0
87686,role_0
87687,role_0
87688,role_0
87689,role_0
87690,role_0
87691,role_0
87692,role_0
87693,role_0
87695,role_0
